tinggi,berat,deskripsi
158.11433165585942,58.36424017795172,Normal
160.34402599891166,52.56015496869274,Normal
161.48607973799352,61.93485173484646,Normal
182.45929672402528,69.04210772809753,Slim
184.46258379396704,71.34107570850593,Slim
150.4295989790559,74.85335386020107,Fat
158.5481124153434,56.25574203080538,Normal
147.10704159715922,81.66756543604477,Obese
155.7931886815351,57.56721948682166,Normal
150.96692073986918,87.12007797468027,Obese
184.14537628750125,68.70595914517219,Slim
178.5300018769845,68.44529092614688,Slim
161.5562143081904,51.69214209796024,Normal
145.76845765354622,72.57005706275399,Fat
148.9447606141058,87.29778922696629,Obese
181.20444166487476,64.99805214991379,Slim
148.97222136675853,82.36668409843297,Obese
139.4058004602003,68.55499695419704,Fat
151.41973296661442,85.00214089409684,Obese
154.77500866333432,83.25018127494835,Obese
177.67521816693954,72.20886495691553,Slim
157.059524286019,53.05457538740606,Normal
152.9371034185436,54.49765411005443,Normal
154.30151803839405,62.56945723647752,Normal
145.2384517157194,74.13461583846586,Fat
187.5947984229132,73.72930554896908,Slim
154.31235778008218,87.31350988051764,Obese
179.03318841926517,69.21772881021653,Slim
148.40458363215402,86.83450399895598,Obese
182.42859923121256,66.32961221923055,Slim
159.55880150859775,54.13783345736741,Normal
178.34676312691604,72.226562477091,Slim
148.47515119532588,78.36319051731175,Fat
145.91862062418264,72.65190000624506,Fat
180.51375585738668,71.66281423808195,Slim
151.73614033367872,91.00953053305736,Obese
188.2694102175534,78.43838948986655,Slim
142.38102243073882,71.35173882557298,Fat
143.8851778226137,68.71827448698517,Fat
149.13364627484455,89.10646444582136,Obese
143.75368137360837,82.19479588533953,Obese
155.30666739765215,62.45428069367762,Normal
152.77610976560172,74.95739725036432,Fat
154.66647913187612,73.59809429984766,Fat
160.98244286081172,53.91944907621753,Normal
182.22158749388706,66.46531504303209,Slim
152.3886679724132,58.07587101197282,Normal
147.4545970907508,85.38686478982446,Obese
178.2111389154901,66.74770551825326,Slim
182.16990004512166,72.82657535812542,Slim
148.7843333362538,83.25402418336557,Obese
178.04026031031606,76.6748441136832,Slim
156.59744553716237,55.89869326898351,Normal
181.87642187663135,68.53837655792474,Slim
183.4541148797337,68.1234624435325,Slim
183.7354927627291,72.59825410515535,Slim
154.9271980035913,82.18273138470184,Obese
152.13109960106215,79.85777335301107,Obese
149.60310312955212,87.76208926789423,Obese
145.40987762430294,83.32781740881342,Obese
144.18866992525236,82.99791815873097,Obese
183.90498164306598,68.05157713004226,Slim
155.81407755226945,95.43918116847567,Obese
184.22843956096557,75.99236793842924,Slim
185.43697705826014,66.62832983112565,Slim
179.2419644634508,68.74445723843901,Slim
180.17179064282254,71.04131978329433,Slim
